category	recipe
ingredient:	 anchovy
ingredient:	 apple
ingredient:	 artichokes
ingredient:	 asparagus
ingredient:	 avocado
ingredient:	 bacon
ingredient:	 banana
ingredient:	 beans
ingredient:	 beef
ingredient:	 beetroot
category:	berries
category:	biscuits and bars
category:	breads and doughs
ingredient:	 breakfast
ingredient:	 cabbage
category:	cakes and muffins
ingredient:	 cheese
ingredient:	 cherries
ingredient:	 chicken
ingredient:	 chickpea
category:	chilled desserts
ingredient:	 chilli
ingredient:	 chocolate
ingredient:	 coconut
ingredient:	 coffee
ingredient:	 couscous
category:	crepes, pancakes and waffles
ingredient:	 cucumber
category:	curries
ingredient:	 daikon
ingredient:	 dates
category:	desserts
category:	drinks
ingredient:	 eggplant
ingredient:	 eggs
ingredient:	 fig
category:	fish
ingredient:	 fruit
ingredient:	 garlic
ingredient:	 ginger
ingredient:	 ham
ingredient:	 kumara
ingredient:	 lamb
ingredient:	 leek
ingredient:	 lemon
ingredient:	 lentil
ingredient:	 lime
ingredient:	 mushroom
ingredient:	 noodles
ingredient:	 nuts
ingredient:	 onion
ingredient:	 orange
ingredient:	 parsnip
ingredient:	 passionfruit
ingredient:	 pasta
ingredient:	 pea
ingredient:	 peaches
ingredient:	 pear
ingredient:	 pesto
category:	pies and pastries
ingredient:	 pizza
ingredient:	 polenta
ingredient:	 pork
ingredient:	 potato
category:	poultry
ingredient:	 pumpkin
ingredient:	 quinoa
ingredient:	 radicchio
ingredient:	 ratatouille
ingredient:	 rhubarb
ingredient:	 rice
category:	salads
category:	sandwiches, rolls and toast
ingredient:	 sausage
category:	seafood
ingredient:	 soy
ingredient:	 spinach
ingredient:	 strawberry
category:	tarts and flans
ingredient:	 tofu
ingredient:	 tomato
ingredient:	 veal
ingredient:	 vegetables
ingredient:	 venison
ingredient:	 yoghurt
ingredient:	 zucchini
